name,train,test,architecture,inteprolate,applyWindTransformation,temperatureAvgError,temperatureAvgStd,windGoodPredictions
Default test,data/train_1,data/test_1,(5- 10),0,0,2.76468006,2.404142299,87.87878788
Default test,data/train_2,data/test_2,(5- 10),0,0,3.353690802,4.25690719,97.88359788
Default test,data/train_1,data/test_1,(5- 10),1,0,2.102805584,1.72085118,87.87878788
Default test,data/train_2,data/test_2,(5- 10),1,0,3.313426996,4.283782107,97.88359788
Default test,data/train_1,data/test_1,(5- 10),0,1,2.815794367,2.612944423,87.87878788
Default test,data/train_2,data/test_2,(5- 10),0,1,3.410041034,4.240733001,97.88359788
Default test,data/train_1,data/test_1,(5- 10),1,1,2.447881734,2.204127596,87.87878788
Default test,data/train_2,data/test_2,(5- 10),1,1,3.340527687,4.238810906,97.88359788
Default test,data/train_1,data/test_1,(10- 10),0,0,2.766924613,2.068061009,87.87878788
Default test,data/train_2,data/test_2,(10- 10),0,0,3.454781981,4.25940493,97.88359788
Default test,data/train_1,data/test_1,(10- 10),1,0,2.192449878,1.864913106,87.87878788
Default test,data/train_2,data/test_2,(10- 10),1,0,3.367927751,4.282009114,97.88359788
Default test,data/train_1,data/test_1,(10- 10),0,1,2.647311036,2.348013246,87.87878788
Default test,data/train_2,data/test_2,(10- 10),0,1,3.383101279,4.149392043,97.88359788
Default test,data/train_1,data/test_1,(10- 10),1,1,2.488595269,1.936571623,87.87878788
Default test,data/train_2,data/test_2,(10- 10),1,1,3.444832538,4.340150922,97.88359788
Default test,data/train_1,data/test_1,(15- 10),0,0,2.57321596,2.074451877,87.87878788
Default test,data/train_2,data/test_2,(15- 10),0,0,3.650965977,4.407921173,97.88359788
Default test,data/train_1,data/test_1,(15- 10),1,0,2.017808161,1.712682361,87.87878788
Default test,data/train_2,data/test_2,(15- 10),1,0,3.422651874,4.215249042,97.88359788
Default test,data/train_1,data/test_1,(15- 10),0,1,2.463908643,2.157314642,87.87878788
Default test,data/train_2,data/test_2,(15- 10),0,1,3.356985688,4.077660202,97.88359788
Default test,data/train_1,data/test_1,(15- 10),1,1,2.069954592,1.775327543,87.87878788
Default test,data/train_2,data/test_2,(15- 10),1,1,3.244371359,4.15444282,97.88359788
Default test,data/train_1,data/test_1,(20- 10),0,0,2.475624874,1.962020729,87.87878788
Default test,data/train_2,data/test_2,(20- 10),0,0,3.696563133,4.661111397,97.88359788
Default test,data/train_1,data/test_1,(20- 10),1,0,2.259789558,2.020351982,87.87878788
Default test,data/train_2,data/test_2,(20- 10),1,0,3.660194648,4.57147923,97.88359788
Default test,data/train_1,data/test_1,(20- 10),0,1,2.895792011,2.48852263,87.87878788
Default test,data/train_2,data/test_2,(20- 10),0,1,3.741418226,4.656598253,97.88359788
Default test,data/train_1,data/test_1,(20- 10),1,1,2.444078006,1.917485396,87.87878788
Default test,data/train_2,data/test_2,(20- 10),1,1,3.705547573,4.842855468,97.88359788
Default test,data/train_1,data/test_1,(25- 10),0,0,2.558432794,1.947013406,87.87878788
Default test,data/train_2,data/test_2,(25- 10),0,0,3.840338119,5.054808681,97.88359788
Default test,data/train_1,data/test_1,(25- 10),1,0,2.143380096,1.75513154,87.87878788
Default test,data/train_2,data/test_2,(25- 10),1,0,3.800390771,4.919732356,97.88359788
Default test,data/train_1,data/test_1,(25- 10),0,1,2.440602285,2.017351077,87.27272727
Default test,data/train_2,data/test_2,(25- 10),0,1,3.608817225,4.780666589,97.88359788
Default test,data/train_1,data/test_1,(25- 10),1,1,2.072168245,1.793910194,87.87878788
Default test,data/train_2,data/test_2,(25- 10),1,1,3.367743151,4.408652279,97.88359788
Default test,data/train_1,data/test_1,(30- 10),0,0,2.272663738,1.680894428,87.87878788
Default test,data/train_2,data/test_2,(30- 10),0,0,3.902109473,5.023917939,97.88359788
Default test,data/train_1,data/test_1,(30- 10),1,0,2.284702594,1.958839929,87.87878788
Default test,data/train_2,data/test_2,(30- 10),1,0,3.732794552,4.909621676,97.88359788
Default test,data/train_1,data/test_1,(30- 10),0,1,2.614148318,2.198601336,87.87878788
Default test,data/train_2,data/test_2,(30- 10),0,1,3.561113026,4.709068597,97.88359788
Default test,data/train_1,data/test_1,(30- 10),1,1,2.235992358,1.973498058,87.87878788
Default test,data/train_2,data/test_2,(30- 10),1,1,3.616827886,4.783495752,97.88359788
Default test,data/train_1,data/test_1,(30- 5),0,0,2.428437463,1.885888871,87.87878788
Default test,data/train_2,data/test_2,(30- 5),0,0,3.576740262,4.913804003,97.88359788
Default test,data/train_1,data/test_1,(30- 5),1,0,2.274223366,1.952586744,87.87878788
